['Temparature= -27.44 , Button= 0 , light= 191\r\n']
['Temparature= 279.68 , Button= 0 , light= 194\r\n']
['Temparature= -34.53 , Button= 107 , light= 194\r\n']
['Temparature= -50.00 , Button= 107 , light= 193\r\n']
['Temparature= 276.13 , Button= 0 , light= 195\r\n']
['Temparature= 279.03 , Button= 0 , light= 193\r\n']
['Temparature= 275.81 , Button= 0 , light= 195\r\n']
['Temparature= 274.52 , Button= 0 , light= 191\r\n']
['Temparature= 166.88 , Button= 0 , light= 197\r\n']
['Temparature= -41.62 , Button= 0 , light= 194\r\n']
['Temparature= -50.00 , Button= 0 , light= 193\r\n']
['Temparature= 268.40 , Button= 0 , light= 192\r\n']
['Temparature= 176.88 , Button= 0 , light= 196\r\n']
['Temparature= 87.61 , Button= 0 , light= 196\r\n']
['Temparature= 270.33 , Button= 0 , light= 192\r\n']
['Temparature= 279.68 , Button= 107 , light= 197\r\n']
['Temparature= 231.34 , Button= 107 , light= 199\r\n']
['Temparature= 149.16 , Button= 0 , light= 196\r\n']
['Temparature= -46.78 , Button= 0 , light= 191\r\n']
['Temparature= -21.32 , Button= 0 , light= 196\r\n']
['Temparature= -20.67 , Button= 0 , light= 196\r\n']
['Temparature= -45.49 , Button= 0 , light= 194\r\n']
